date,FSS_S06_B1_003,FSS_S06_B1_004,FSS_S06_B2_005,FSS_S06_B2_006,FSS_S06_B4_009,FSS_S06_B4_010,FSS_S06_B5_011,FSS_S06_B5_012,FSS_S06_B6_013,FSS_S06_B6_014,FSS_S06_B7_015,FSS_S06_B7_016,FSS_S06_F_019,FSS_S06_F_020,FSS_S06_L2_017,FSS_S06_L2_018,FSS_S07_B1_003,FSS_S07_B1_004,FSS_S07_B2_005,FSS_S07_B2_006,FSS_S07_B3_007,FSS_S07_B3_008,FSS_S07_B4_009,FSS_S07_B4_010,FSS_S07_B5_011,FSS_S07_B5_012,FSS_S07_B6_013,FSS_S07_B6_014,FSS_S07_F_019,FSS_S07_F_020,FSS_S07_L1_001,FSS_S07_L1_002,FSS_S07_L2_017,FSS_S07_L2_018,FSS_S08_B1_003,FSS_S08_B1_004,FSS_S08_B2_005,FSS_S08_B2_006,FSS_S08_B3_007,FSS_S08_B3_008,FSS_S08_B6_013,FSS_S08_B6_014,FSS_S08_B7_015,FSS_S08_B7_016
2020-01-01,-172.79342855750636,372358.4580581628,-166.37874010080023,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-177.13891193599136,370554.84793531586,-188.17100106082717,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-4.815586761099332,-5.144551743793389,2.0889717591827694,-22.27926252587837,2.2945033527597274,14.534974406531337,5.651716040341667,14.311669273405752,-1.5316792662319245,-1.906523432835606,-100239.83568473197,-193454.86168733903,707.8197804562044,414.9455346505616,645.3428688875293,-197227.95053350204,-2.0536034204557003,-2.912636017529745,-3.1178329615142104,-0.7994396137157698,0.9376521259695636,-24.518199618023583,-2.5997110731030983,-198226.34702293607,16.06934313432405,27.47485598818292,5.9861019648286335,-11.891873528298323
2020-01-02,-172.6980754519471,372358.4580581628,-166.2698530850088,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-177.06801464857352,370554.84793531586,-188.1117877132704,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-4.7277809546666045,-4.851791409594059,2.1293796460113423,-21.85789494893741,2.3575842108144522,14.577143429424225,5.65869784052279,14.423324688632153,-1.4454584482592874,-1.6613044347829198,-100239.83568473197,-193454.86168733903,707.8197804562044,415.18631968229954,645.3428688875293,-197227.95053350204,-2.0033733328913197,-2.7859048285159416,-3.2752198789395015,-0.5451306936249583,0.868326735011065,-24.248903651433135,-2.5285032227066053,-198226.34702293607,16.036195180264365,27.646414568785318,5.942908222523551,-11.956728961130052
2020-01-03,-172.51414184770908,372358.4580581628,-166.04539205876026,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-176.83911495914998,370554.84793531586,-187.97706054783671,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-4.662303709126058,-4.104000089151944,2.3393525349055015,-21.22358638510681,2.318265752390268,14.420401321374136,5.770223145940479,14.636335122395018,-1.3218024845428693,-1.1705566889120358,-100239.83568473197,-193454.86168733903,707.8197804562044,415.37949499035614,645.3428688875293,-197227.95053350204,-2.0376994249174487,-2.6639442690206057,-3.1814118067804458,0.10122524513601894,0.8913845124041835,-23.738475192689187,-2.7343080123429204,-198226.34702293607,15.772902423504426,27.438288017597145,5.940188179812584,-11.799110264845748
2020-01-04,-172.35619813443344,372358.4580581628,-165.85680011691147,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-176.630524886687,370554.84793531586,-187.71586892468565,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-4.730544703923198,-4.215658862806804,2.314165657185172,-21.28967068716216,2.2130889659144484,14.245276472622194,5.750443101267115,14.246885230444864,-1.3527164754718188,-1.2611250823819313,-100239.83568473197,-193454.86168733903,707.8197804562044,415.2010704680704,645.3428688875293,-197227.95053350204,-2.0980356697327087,-2.9031730744980564,-3.1967471999132817,0.15181821795029382,0.8817258086995321,-23.90677540500254,-2.9590696440615507,-198226.34702293607,15.528005793542569,27.145703513849988,5.906349299850758,-11.82908896517055
2020-01-05,-172.21580808762693,372358.4580581628,-165.69599762974408,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-176.318957342093,370554.84793531586,-187.44231642060882,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-4.750334143703041,-4.07501650881871,2.3166371654992544,-21.162829604029167,2.174724914853449,14.155644756748806,5.684703845003668,14.177456321255386,-1.3181686334392846,-1.1416345127257168,-100239.83568473197,-193454.86168733903,707.8197804562044,415.20064087052356,645.3428688875293,-197227.95053350204,-2.1422079608145577,-3.0248666081857447,-3.1781570581757608,0.5852863231114571,0.93803776468941,-23.53904415802348,-2.9570898506539893,-198226.34702293607,15.463805432985183,27.402831588394122,5.989179547798587,-11.527064133742776
2020-01-06,-172.20976907775244,372358.4580581628,-165.68143166765023,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-176.03045879061713,370554.84793531586,-187.2465119778555,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-4.534832627693546,-3.7128451730508107,2.3793121947769866,-20.460557749674866,2.2709407419852554,14.351494446461714,5.806153805245208,14.073004725222335,-1.124425377145656,-0.8688592095529168,-100239.83568473197,-193454.86168733903,707.8197804562044,415.0473100027278,645.3428688875293,-197227.95053350204,-2.136871967872956,-3.170804869424824,-3.1398323831380424,0.9320178065682754,0.973033582028632,-23.252369497532456,-3.0031235324710885,-198226.34702293607,15.315334588442452,27.144026308295075,5.940366041643904,-11.42585921915313
2020-01-07,-172.35643384280604,372358.4580581628,-165.81970143551868,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-176.06956166369812,370554.84793531586,-187.2025019441801,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-4.383898626862573,-3.7064388671369644,2.457856048500576,-20.5570032509095,2.2656259078916725,14.78823647322968,5.762981602100065,14.153823535254487,-1.1271201328334484,-0.7060628130538582,-100239.83568473197,-193454.86168733903,707.8197804562044,415.1180242211633,645.3428688875293,-197227.95053350204,-2.1557559097133736,-3.106340972445505,-3.1469536391261954,0.9316575322430398,0.9918250482011239,-23.279398005786263,-2.930711503204351,-198226.34702293607,15.238390633689114,27.031035491831226,5.910505720175976,-11.191369942697131
2020-01-08,-172.4488656552445,372358.4580581628,-165.89944398573596,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-176.42915629939074,370554.84793531586,-187.39295218876717,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-4.584332145778856,-4.2999038472645665,2.4025157088264,-21.551006338264312,2.29134857351413,15.162959867870661,5.726843147870484,14.511616130137954,-1.174570249572254,-1.02717080560625,-100239.83568473197,-193454.86168733903,707.8197804562044,415.6174316672726,645.3428688875293,-197227.95053350204,-2.0513860181794774,-2.619111102047623,-3.3972240866125247,-0.5757046176397109,0.8283866064413119,-24.562054095942116,-2.8706821076801834,-198226.34702293607,15.449577492624814,26.741571451809914,5.883061833006049,-11.949759472784534
2020-01-09,-172.4046801651811,372358.4580581628,-165.84614842067143,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-176.53731678658494,370554.84793531586,-187.6352387844493,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-5.115157548895293,-5.276967440994379,2.06117005253769,-22.784209807502474,1.9677430604139818,14.538411481292943,5.5216279948538345,14.065675518618669,-1.614044816692593,-1.6841436271096515,-100239.83568473197,-193454.86168733903,707.8197804562044,415.55319393964976,645.3428688875293,-197227.95053350204,-2.2459600320725466,-2.9777264424158014,-3.551902696026233,-1.1409907008350944,0.6598888940433931,-25.098414874283616,-2.908466650347476,-198226.34702293607,15.654512071851812,27.194471089843745,5.868114172704103,-11.790795735873138
2020-01-10,-172.1405760969888,372358.4580581628,-165.63272787389005,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-176.59124779875577,370554.84793531586,-187.60237325273627,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-5.322903468874619,-5.213059585478692,2.032232385925735,-23.347725437240182,1.9460892643713423,15.258558575535723,5.488963124469695,14.35884175046169,-1.7071193724368379,-1.9540323132096664,-100239.83568473197,-193454.86168733903,707.8197804562044,416.07839540739434,645.3428688875293,-197227.95053350204,-2.211085441964413,-2.633782492660528,-3.8893806450704247,-1.9010736176440695,0.4092804439082154,-25.522093975489536,-2.934781333701286,-198226.34702293607,15.678900318458652,27.22434013168481,5.731260310222942,-12.395100229546431
