date,FSS_S01_B1_003,FSS_S01_B1_004,FSS_S01_B2_005
2016/6/18,0,0,0
2016/6/19,-0.327569,-0.566085,-0.326256
2016/6/20,-0.818921,-0.849128,-0.81564
2016/6/21,-1.310273,-1.415213,-1.305025
2016/6/22,-1.310273,-2.264341,-1.305025
2016/6/23,-1.637842,-2.547383,-1.631281
2016/6/24,-1.801626,-1.698256,-1.794409
2016/6/25,-1.310273,-0.849128,-1.305025
2016/6/26,-1.146489,-0.566085,-1.141897
2016/6/27,-1.146489,0,-1.141897
2016/6/28,-0.818921,0.849128,-0.81564
2016/6/29,-0.491353,0.283042,-0.489384
2016/6/30,-0.818921,-0.566085,-0.81564
2016/7/1,-1.310273,-0.566085,-1.305025
2016/7/2,-1.146489,0.283042,-1.141897
2016/7/3,-0.982705,0.283042,-0.978768
2016/7/4,-0.982705,0.566085,-0.978768
2016/7/5,-1.146489,0.566085,-1.141897
2016/7/6,-0.818921,0,-0.81564
2016/7/7,-0.818921,-0.566085,-0.81564
2016/7/8,-1.310273,-1.415213,-1.305025
2016/7/9,-1.146489,-1.698256,-1.141897
2016/7/10,-1.801626,-2.547383,-1.794409
2016/7/11,-1.96541,-2.547383,-1.957537
2016/7/12,-2.129194,-2.830426,-2.120666
2016/7/13,-2.292978,-4.245639,-2.283794
2016/7/14,-2.948115,-4.811724,-2.936306
2016/7/15,-3.111899,-4.528681,-3.099434
2016/7/16,-3.111899,-3.679554,-3.099434
2016/7/17,-2.948115,-3.962596,-2.936306
2016/7/18,-2.948115,-3.962596,-2.936306
2016/7/19,-2.948115,-4.245638,-2.936306
2016/7/20,-3.275683,-5.094766,-3.262563
2016/7/21,-3.93082,-6.793021,-3.915075
2016/7/22,-4.422172,-7.076064,-4.40446
2016/7/23,-4.749741,-8.208234,-4.730716
2016/7/24,-4.749741,-8.491277,-4.730716
2016/7/25,-5.404877,-9.057362,-5.383229
2016/7/26,-5.732445,-9.90649,-5.709485
2016/7/27,-6.223798,-10.189532,-6.19887
2016/7/28,-6.551366,-11.321702,-6.525126
2016/7/29,-6.878934,-11.604745,-6.851382
2016/7/30,-6.878934,-12.17083,-6.851382
2016/7/31,-7.370287,-12.453873,-7.340767
2016/8/1,-7.534071,-12.453873,-7.503895
2016/8/2,-7.861639,-12.17083,-7.830151
2016/8/3,-7.534071,-11.321702,-7.503895
2016/8/4,-7.206503,-11.03866,-7.177638
2016/8/9,-7.206503,-11.321702,-7.177638
2016/8/10,-7.042719,-11.321702,-7.01451
2016/8/11,-7.370287,-11.604745,-7.340767
2016/8/12,-7.370287,-11.887788,-7.340767
2016/8/13,-7.697855,-12.736915,-7.667023
2016/8/14,-8.025423,-12.736915,-7.993279
2016/8/15,-8.025423,-13.303,-7.993279
2016/8/16,-8.352992,-13.586043,-8.319536
2016/8/17,-8.352992,-13.586043,-8.319536
2016/8/18,-8.844344,-13.869086,-8.808921
2016/8/19,-8.68056,-13.869086,-8.645793
2016/8/20,-9.171913,-14.435171,-9.135177
2016/8/21,-9.171913,-13.869086,-9.135177
2016/8/22,-8.844344,-13.303001,-8.808921
2016/8/23,-9.171913,-13.586043,-9.135177
2016/8/24,-8.844344,-13.303001,-8.808921
2016/8/25,-8.516776,-13.019958,-8.482665
2016/8/26,-8.68056,-12.170831,-8.645793
2016/8/27,-8.516776,-11.604745,-8.482665
2016/8/28,-7.861639,-11.03866,-7.830152
2016/8/29,-7.534071,-10.755618,-7.503896
2016/8/30,-7.534071,-9.90649,-7.503896
2016/8/31,-7.370287,-9.623447,-7.340767
2016/9/1,-7.206503,-9.623447,-7.177639
2016/9/2,-7.206503,-9.340405,-7.177639
2016/9/3,-7.206503,-9.90649,-7.177639
2016/9/4,-7.370287,-10.189532,-7.340767
2016/9/5,-7.206503,-9.90649,-7.177639
2016/9/6,-7.370287,-9.340405,-7.340767
2016/9/7,-6.71515,-9.057362,-6.688255
2016/9/8,-6.878935,-9.057362,-6.851383
2016/9/9,-6.878935,-8.77432,-6.851383
2016/9/10,-6.878935,-9.057362,-6.851383
2016/9/11,-6.71515,-9.057362,-6.688255
2016/9/12,-6.71515,-9.057362,-6.688255
2016/9/13,-6.551366,-8.77432,-6.525127
2016/9/14,-6.71515,-8.491277,-6.688255
2016/9/15,-6.71515,-8.208234,-6.688255
2016/9/16,-6.060014,-7.359107,-6.035742
2016/9/17,-6.060014,-7.359107,-6.035742
2016/9/18,-5.732446,-6.793022,-5.709486
2016/9/19,-5.732446,-6.50998,-5.709486
2016/9/20,-5.404877,-5.660852,-5.383229
2016/9/21,-5.241093,-5.377809,-5.220101
2016/9/22,-4.913525,-4.811724,-4.893845
2016/9/23,-5.077309,-5.094767,-5.056973
2016/9/24,-5.241093,-5.377809,-5.220101
2016/9/25,-5.241093,-5.943894,-5.220101
2016/9/26,-5.241093,-5.943894,-5.220101
2016/9/27,-5.241093,-6.793022,-5.220101
2016/9/28,-5.732446,-5.660852,-5.709486
2016/9/29,-5.077309,-5.094767,-5.056973
2016/9/30,-4.585957,-3.679554,-4.567589
2016/10/1,-4.258388,-3.113469,-4.241332
2016/10/2,-3.93082,-3.396511,-3.915076
2016/10/3,-3.767036,-3.113469,-3.751948
2016/10/4,-3.767036,-2.264341,-3.751948
