date,FTP_S01_L2_001,FTP_S01_L2_002,FTP_S02_L2_001,FTP_S02_L2_002,FTP_S04_L2_001,FTP_S04_L2_002,FTP_S05_L2_001,FTP_S06_L2_001,FTP_S06_L2_002,FTP_S07_L2_001,FTP_S07_L2_002,FTP_S08_L2_001,FTP_S08_L2_002,FTP_S09_L2_001,FTP_S09_L2_002,FTP_S10_L2_001
2016-06-18,23.876896,20.892296,23.436392,24.107307,22.367647,22.371861,22.051617,22.199261,23.505738,22.501108,25.071193,22.811856,22.339929,26.422351000000006,23.200658,8.723169
2016-06-19,23.975561,20.892296,23.63843,24.307367000000006,22.367647,22.769583,22.051617,23.314293,24.2,23.109246,25.672901,21.907422,22.24064,26.422351000000006,22.491467,8.013144
2016-06-20,24.37022,21.190758,23.941487,24.407398,22.570069,22.769583,22.348275,22.401994,22.712295,22.703821,25.372047,23.515306,23.332814000000006,27.329989,24.011161,10.954678
2016-06-21,24.271555,21.389732,24.244544,24.607458,22.772491,22.769583,22.348275,22.199261,23.803279,24.021453,25.271762,23.716291,23.233526,27.430838,24.112474,10.954678
2016-06-22,24.37022,21.389732,24.244544,24.907549,22.873702,23.167305,22.447161,23.922492,24.10082,23.311959,25.873471,23.31432,23.729969,27.128292,22.998032,11.360406
2016-06-23,24.56755,21.489219,24.446581,25.007579,22.974913,23.067875,22.644934,23.618392,23.109016,23.920097,26.27461,23.213827,23.531392,26.624049,23.30197,9.433195
2016-06-24,24.76488,21.688193,24.5476,24.707488,22.873702,23.067875,22.546048000000006,23.314293,24.497541,24.325522,25.873471,23.414813,22.339929,27.027443,23.504596,10.650381
2016-06-25,24.56755,21.588706,24.244544,24.407398,22.974913,22.968444,22.74382,23.922492,24.001639,24.122809,26.27461,23.615799,23.134237,26.825746,24.112474,8.926034
2016-06-26,24.468885,21.688193,24.143525,24.307367000000006,23.177335,23.067875,22.842706,24.226591,24.29918,23.109246,26.074041,22.912349,24.226412,26.422351000000006,23.504596,11.360406
2016-06-27,24.172891,21.588706,24.143525,24.107307,23.177335,22.769583,22.644934,23.415659,24.001639,24.122809,25.472332,23.113335,23.233526,26.5232,23.909848,9.737491
2016-06-28,23.975561,21.787681,23.941487,23.807216,23.177335,22.869014,22.74382,22.503361,23.803279,23.920097,25.672901,22.610871,22.439217000000006,26.926595,24.416413,11.461839
2016-06-29,24.271555,21.688193,23.739449,24.007276,22.873702,23.167305,22.74382,23.719759,24.497541,23.413315,25.271762,23.012842000000006,22.637794,26.624049,24.011161,9.027466
2016-06-30,24.37022,21.887168,23.941487,24.307367000000006,23.076124,23.067875,22.644934,23.618392,24.596721,24.325522,25.572617,23.414813,23.034949,27.329989,23.200658,11.766135
2016-07-01,24.271555,21.688193,24.244544,24.307367000000006,23.177335,23.167305,22.74382,23.212926,23.604918,23.717384,25.973756,23.515306,23.034949,26.724897,24.517725,10.954678
2016-07-02,24.172891,21.787681,24.143525,24.007276,23.379758,23.266736,22.74382,23.821125,24.795082,24.426878,26.074041,23.716291,23.134237,26.724897,23.605909,11.157542
2016-07-03,24.172891,21.787681,24.042506,24.007276,23.177335,22.968444,22.842706,23.517026,23.803279,23.514671,25.773186,22.2089,23.829257,26.724897,24.213787,10.447517
2016-07-04,24.271555,21.887168,24.042506,23.907246,23.177335,23.167305,22.74382,23.314293,24.695902,22.906533,26.174325,22.912349,22.836372,26.220654,23.504596,11.360406
2016-07-05,23.778231,21.588706,24.143525,23.907246,23.177335,22.869014,22.842706,24.327958,24.001639,23.413315,26.27461,22.711364,22.737083,25.615562,23.504596,8.418873
2016-07-06,23.975561,21.688193,23.941487,24.107307,23.379758,23.067875,22.644934,23.821125,23.803279,24.224166,25.873471,23.31432,22.93566,27.027443,23.909848,11.258974
2016-07-07,23.975561,21.986655,23.941487,24.307367000000006,23.379758,23.067875,22.842706,24.023858,23.803279,24.325522,25.773186,23.515306,23.531392,26.5232,24.011161,8.926034
2016-07-08,24.271555,21.688193,24.244544,24.607458,23.278547,23.067875,22.842706,23.821125,23.406557,24.021453,26.47518,23.615799,23.928546,26.321503000000003,24.619038,9.940356
2016-07-09,24.468885,21.787681,24.143525,24.707488,23.278547,22.968444,23.040478,23.415659,24.993443,23.413315,25.672901,24.419741,22.93566,27.834233,24.112474,9.838923
2016-07-10,24.76488,22.086142,24.5476,25.007579,23.480969,23.167305,22.941592,23.922492,24.001639,23.81874,26.27461,22.811856,23.928546,27.935081,25.226916,8.824601
2016-07-11,24.863545,21.986655,24.648619,25.007579,23.480969,23.366166,23.040478,23.517026,23.604918,23.717384,25.873471,24.319248,24.3257,27.935081,24.213787,9.331762
2016-07-12,24.863545,22.185629,24.749638,25.10761,23.683391,23.465597,22.941592,24.125225,24.795082,23.81874,26.876319,24.419741,23.829257,27.430838,24.3151,9.940356
2016-07-13,25.159539,22.185629,24.850657,25.607761,23.480969,23.763888,23.040478,23.618392,24.10082,24.021453,26.575464,24.520233,24.921432,28.03593,24.011161,9.940356
2016-07-14,25.159539,22.285116,25.254733,25.807822,23.683391,23.763888,23.238251,24.023858,25.092623,23.616028,26.47518,23.816784,24.027834,28.439325,25.125603,11.563271
2016-07-15,25.258204,22.384603,25.355752,25.707792,23.784602,23.863319,23.238251,24.327958,24.2,23.81874,26.876319,23.816784,25.02072,28.03593,24.3151,9.940356
2016-07-16,25.356869,22.583578,25.355752,25.407701,23.784602,23.465597,23.436023,24.125225,24.398361,24.224166,25.973756,24.620726,24.027834,27.430838,26.240045,10.447517
2016-07-17,25.159539,22.384603,25.254733,25.507731,23.683391,23.664458,23.436023,24.125225,24.993443,24.629591,26.675749,24.620726,25.219297,27.935081,24.3151,11.664703
