date,waterline
2016-06-18,5.53
2016-06-19,5.6
2016-06-20,5.66
2016-06-21,5.82
2016-06-22,5.95
2016-06-23,5.91
2016-06-24,5.86
2016-06-25,5.82
2016-06-26,5.76
2016-06-27,5.89
2016-06-28,6.03
2016-06-29,6.31
2016-06-30,6.33
2016-07-01,6.4
2016-07-02,6.89
2016-07-03,7.4
2016-07-04,7.8
2016-07-05,8.02
2016-07-06,7.81
2016-07-07,7.71
2016-07-08,7.71
2016-07-09,7.69
2016-07-10,7.65
2016-07-11,7.59
2016-07-12,7.58
2016-07-13,7.54
2016-07-14,7.54
2016-07-15,7.61
2016-07-16,7.59
2016-07-17,7.59
2016-07-18,7.51
2016-07-19,7.46
2016-07-20,7.36
2016-07-21,7.18
2016-07-22,7.05
2016-07-23,6.95
2016-07-24,6.89
2016-07-25,6.88
2016-07-26,6.82
2016-07-27,6.76
2016-07-28,6.7
2016-07-29,6.66
2016-07-30,6.65
2016-07-31,6.69
2016-08-01,6.68
2016-08-02,6.63
2016-08-03,6.56
2016-08-04,6.36
2016-08-05,6.14
2016-08-06,5.99
2016-08-07,5.98
2016-08-08,5.95
2016-08-09,5.9
2016-08-10,5.9
2016-08-11,5.88
2016-08-12,5.83
2016-08-13,5.8
2016-08-14,5.8
2016-08-15,5.84
2016-08-16,5.89
2016-08-17,5.93
2016-08-18,5.95
2016-08-19,5.93
2016-08-20,5.75
2016-08-21,5.44
2016-08-22,5.29
2016-08-23,5.27
2016-08-24,5.22
2016-08-25,5.18
2016-08-26,5.1
2016-08-27,5.08
2016-08-28,5.01
2016-08-29,5.18
2016-08-30,5.08
2016-08-31,5.13
2016-09-01,4.96
2016-09-02,4.95
2016-09-03,4.69
2016-09-04,4.42
2016-09-05,4.16
2016-09-06,3.95
2016-09-07,3.82
2016-09-08,3.72
2016-09-09,3.59
2016-09-10,3.48
2016-09-11,3.31
2016-09-12,3.21
2016-09-13,3.28
2016-09-14,3.42
2016-09-15,3.7
2016-09-16,4.21
2016-09-17,4.14
2016-09-18,4.27
2016-09-19,3.88
2016-09-20,3.28
2016-09-21,3.02
2016-09-22,2.9
2016-09-23,2.77
2016-09-24,2.68
2016-09-25,2.59
2016-09-26,2.56
2016-09-27,2.62
2016-09-28,2.88
2016-09-29,3.45
2016-09-30,3.48
2016-10-01,3.79
2016-10-02,3.63
2016-10-03,3.45
2016-10-04,3.15
2016-10-05,2.87
2016-10-06,2.75
2016-10-07,2.78
2016-10-08,2.67
2016-10-09,2.76
2016-10-10,2.54
2016-10-11,2.42
2016-10-12,2.55
2016-10-13,2.74
2016-10-14,3.01
2016-10-15,3.33
2016-10-16,3.34
2016-10-17,3.26
2016-10-18,3.11
2016-10-19,2.42
2016-10-20,2.11
2016-10-21,2.19
2016-10-22,2.35
2016-10-23,2.61
